id,trigger,conditions,script,text,options,notes
gaFCLaicaileVisitStartAlamangYes,GAFCAlamangCheck1,$global.gaFC_gotAlamangForScylla,"$option = gaFC_laicailleVisit1 0
FireBest DialogOptionSelected",执政官注意到你胳膊下夹着一包磷虾酱('Sub-Kay牌，蓝调酒吧特色)。{$HeOrShe}挑了挑眉毛，但没有作任何评论。,,
gaFCLaicaileVisitStartAlamangNo,GAFCAlamangCheck1,!$global.gaFC_gotAlamangForScylla,"$option = gaFC_laicailleVisit1 0
FireBest DialogOptionSelected",,,
gaFCLaicailleVisit1,DialogOptionSelected,$option == gaFC_laicailleVisit1,,"执政官对着{$hisOrHer}通讯环轻声说了一句话，一小队装备各异的{Laicaille}民兵出现了。

""舰长，一起去一趟安全屋吧。""{$heOrShe}说，然后转身带领你们其他人朝空间站的交通井走去。",gaFC_laicailleVisit2:跟上执政官,
gaFCLaicailleVisit2,DialogOptionSelected,$option == gaFC_laicailleVisit2,,"安全屋是一个租金很低的商业仓库，位于这个空间站环带中安全级别只是中等的扇区。过薄的舱壁甚至不能很好地阻隔娱乐广场上那低音贝斯发出的噪音 - 哪怕那远在几个区段之外。

当你们接近安全屋那看起来就像个普通货仓门的入口时，三个懒散的英仙座联盟特工跳了起来。",gaFC_laicailleVisit3:看戏,
gaFCLaicailleVisit3,DialogOptionSelected,$option == gaFC_laicailleVisit3,,"空间站执政官大步向前，任由你在他身上激起的愤恨支配身体，痛斥联盟的特工们危害空间站并践踏英仙座联盟公民的权利的行为，以及最严重的 - 彻头彻尾的无能。

年轻的{Kazeron}特工擦了擦额头上渗出的汗水: ""执政官，我们有这个，英仙座联盟的安全命令 - ""

""这东西没有用处，这次的行动漏洞百出。""执政官简短地瞥了你一眼，""你们在这次行动中的不作为对我们的安全构成了严重的威胁。在执行委员会的全力支持下，{Laicaille}栖息地决定对此事行使主权。""",gaFC_laicailleVisit4:继续,
gaFCLaicailleVisit4,DialogOptionSelected,$option == gaFC_laicailleVisit4,,"联盟的特工放下了他们握不太稳的手枪，与此同时，侧边的特工失去了保持冷静的力量。

执政官拿过特工的手枪，检查了它的保险，然后把特工推开，引导你走向气闸门。用强制指令覆盖了控制面板后，执政官示意你通过装甲门。",gaFC_laicailleVisit4b:进入气闸门,
gaFCLaicailleVisit4b,DialogOptionSelected,$option == gaFC_laicailleVisit4b,ShowSecondPerson coureuse,一个拿着数据板的女人站在你面前，疑惑地看着没见过的到访者。你环顾着这黑暗的空间，看到了阴暗的设备架，货箱以及嗡嗡作响的机器。角落里一个零重力风格的小生活舱看起来便是她的私人空间了。,"gaFC_laicailleVisit5:""我猜你就是{Scylla Coureuse}了。""",
gaFCLaicailleVisit5,DialogOptionSelected,$option == gaFC_laicailleVisit5,FireBest GAFCAlamangCheck2,"""是的。""她小心翼翼地说。""还有，呃...{$personLastName}执政官，什么风把您吹来了?""

""这位到处打听别人的事的{$playerName}舰长。""执政官向你点点头，""现在是你的时间了。""",,
gaFCLaicailleVisit5Alamang,GAFCAlamangCheck2,$global.gaFC_gotAlamangForScylla,,"{Coureuse}注意到了你腋下的磷虾酱包，""那是...蓝调酒吧的{Sub-Kay}? 你从哪 - 怎么 - ""","gaFC_laicailleVisit5Alamang2:""一份来自{Elissa}的礼物。""",
gaFCLaicailleVisit5Alamang2,DialogOptionSelected,$option == gaFC_laicailleVisit5Alamang2,AdjustRepPerson coureuse COOPERATIVE 3,"{Coureuse}露出了由衷的喜悦微笑。""当然! 我们总是说它有多难闻，实际上对我们来说没有比它更好吃的东西了。""她接过了磷虾酱包，抚摸着它的塑料包装，沉浸在一些记忆中。接着她回过神来: ""哦，对不起，只是...昔日时光罢了。""她把那东西放到了工作台上，""请继续吧，你为什么在这里?""","gaFC_laicailleVisit6:""我有一则给你的信息。""",
gaFCLaicailleVisit5AlamangNo,GAFCAlamangCheck2,!$global.gaFC_gotAlamangForScylla,,,"gaFC_laicailleVisit6:""我有一则给你的信息。""",
gaFCLaicailleVisit6,DialogOptionSelected,$option == gaFC_laicailleVisit6,,"{$personLastName}执政官看着你，用非语言的方式询问{$heOrShe}还呆在这是不是有些不合适。""我还是让你们俩单独谈谈吧。公民{Coureuse}，我正式告知你，你现在已受到{Laicaille}行政委员会的直接保护。我们将确保你在这个空间站的安全，并且，""{$heOrShe}回头看了一眼英仙座联盟的特工，""遵照英仙座联盟宪章，确保你享有行动自由。""

仿佛想起了它的存在，执政官把联盟特工的手枪塞进{$hisOrHer}腰带里，点了点头，转身走回两拨人正在吵架的气闸中。

""{Baird}想让我回去，不是吗?""{Coureuse}抱着胸问道。",gaFC_laicailleVisit7:将你那显示着{Baird}的信息的数据板交给她。,
gaFCLaicailleVisit7,DialogOptionSelected,$option == gaFC_laicailleVisit7,"#ShowDefaultVisual
#ShowSecondPerson coureuse",你把数据板递给{Coureuse}，她拿着数据板走到了几米外的工作站旁，并激活了一个能消音和阻碍视线的隐私区域。,"gaFC_laicailleVisit8:等着
gaFC_laicailleVisit8b:环顾四周",
gaFCLaicailleVisit8,DialogOptionSelected,$option == gaFC_laicailleVisit8,"$option = gaFC_laicailleVisit9 0
FireBest DialogOptionSelected",你听到了含混不清的演说，那是{Baird}的语调无误。轮廓模糊的{Coureuse}仔细地听着，当{Baird}的演讲结束时，她瘫倒在椅子上，好像所有的意志都被抽走了。,,
gaFCLaicailleVisit8b,DialogOptionSelected,$option == gaFC_laicailleVisit8b,"$option = gaFC_laicailleVisit9 0
FireBest DialogOptionSelected",你开始仔细打量这个工坊: 一排排的AI处理核心安放在用电线装饰的冷却槽里。在模块化组件暴露在外的宏汇编器上方，装有失重装置的悬空绞车吊着一个有着安全锁的机器。旁边的工作台上有几只多用途工程臂，它们被摆放在某种内部布置得像一张爆炸的工程图的设备上方。,,
gaFCLaicailleVisit9,DialogOptionSelected,$option == gaFC_laicailleVisit9,,"几分钟后，隐私领域消散，{Coureuse}的轮廓变得清晰起来，她看上去很累。

她把数据板还给了你: ""我会过去的。""","gaFC_laicailleVisitEnd1:""好，那走吧。""
gaFC_laicailleVisit10:""{Baird}说了啥?""
",
gaFCLaicailleVisit10,DialogOptionSelected,$option == gaFC_laicailleVisit10,,"{Coureuse}直直地瞪着你，脸上挂着讽刺的微笑。""你应该知道的，{Baird}总是能随心所欲。""","gaFC_laicailleVisitEnd1:""好吧，我们该出发了。""
",
gaFCLaicailleEnd1,DialogOptionSelected,$option == gaFC_laicailleVisitEnd1,,"""好吧。但我得带走 - ""{Coureuse}看了看她的工作台，计算机阵列和进展到不同程度的项目，""嗯，我的东西。""

你告诉她，你有一个在搬运精密的科学设备方面经验丰富的团队。事实上，你正准备将她介绍给你的行动组长以便进行此项工作。",gaFC_laicailleEnd2:继续,
gaFCLaicailleEnd2,DialogOptionSelected,$option == gaFC_laicailleEnd2,"$global.gaFC_returnToAcademy = true
Call $global.gaFC_ref updateStage","一小时之内，在{Laicaille}栖息地执行委员会和空间站军需官的全力配合下，你成功把{Scylla}Coureuse}和她打包好的设备带到了你的{$shipOrFleet}中。

下一站，{Galatia}学院。{Baird}总是能随心所欲。",defaultLeave:离开,
,,,,,,
# gaFC Scylla Coureuse back to Galatia Academy,,,,,,
gaFCReturnToAcademy,OpenInteractionDialog,$market.gaFC_returnHere score:2000,"$global.foundCoureuse = true
ShowDefaultVisual
SetPersonHidden coureuse false","你的{$shipOrFleet}在排队进入空间站时被打断了; 在这种情况下通常会有交通管制通讯，可这一次，取而代之地，你收到了院长办公室的直接通讯。

""舰长，""你的通讯员报告说，""她想和你说话。""",gaFC_return1:应答通讯,
gaFCReturnToAcademy1,DialogOptionSelected,$option == gaFC_return1,ShowPersonVisual false baird,"{Anahita}Baird}的形象出现了。

""舰长，很高兴终于看到你回来了。把她用穿梭机直接带到这个码头。""她说，与此同时收到导航指示和对接代码的提示音响了起来，""我在那儿等你。""

通讯连接被切断了。",gaFC_return2:继续,
gaFCReturnToAcademy2,DialogOptionSelected,$option == gaFC_return2,"ShowSecondPerson coureuse
ShowThirdPerson sebestyen","推进器冷却时发出了咔咔声，你走下穿梭机，身后跟着{Scylla Coureuse}。这位科学家在短暂的飞行中非常安静，在躲藏一段时间后，她被你带回了{Galatia}学院。

就和之前说好的一样，{Baird}院长带着一小队蒙面警卫和高级顾问在等着你。你扫视众人，发现{Sebestyen}院士在冲你招手。

""很高兴你能回到我们身边，{Scylla}。""{Baird}说。","gaFC_return3:装作没看到{Sebestyen}的举动
gaFC_return3a:也向{Sebestyen}招招手",
gaFCReturnToAcademy3a,DialogOptionSelected,$option == gaFC_return3a,"AdjustRepPerson sebestyen FRIENDLY 1
$option = gaFC_return3 0
FireBest DialogOptionSelected",你向对方招手后{Sebestyen}笑得很开心。{Baird}将注意力都放在{Coureuse}上，对此没有察觉。,,
gaFCReturnToAcademy3,DialogOptionSelected,$option == gaFC_return3,,"{Coureuse}点头表示赞同，实际上她的注意力都放在了观察周围的环境上。""看起来没变多少。""她说。

你想，这句话大概不会让院长高兴。

""这样吗? 我相信之后你会发现这里其实变了很多。{Alviss}Sebestyen}院士，到前面 - 多谢你的配合，我理解你知道{Scylla}回来 - ""在{Sebestyen}有力地点了点头后，{Baird}说，""对，当然。""",gaFC_return4:继续,
gaFCReturnToAcademy4,DialogOptionSelected,$option == gaFC_return4,,"{Sebestyen}开始热烈欢迎{Coureuse}，和她握手并询问她的旅行情况。听着听着{Coureuse}就皱起了眉头，{Baird}打断他说: ""{Alviss}，以后会有时间的。请带刚复职的{Coureuse}院士到她的住处去 - 然后带她去看看新的实验室。""

{Baird}停顿了一下，似乎在盯着{Coureuse}并等待她回应，但{Scylla}只是点点头表示感谢，没有与她对视。

""{Scylla}，我希望你能在这里再一次发光发热。现在请跟上{Alviss}，并且...保持开放的心态。""{Baird}说。",gaFC_return5:继续,
gaFCReturnToAcademy5,DialogOptionSelected,$option == gaFC_return5,"HideSecondPerson
HideThirdPerson","叹了口气后，{Baird}看向了你。

""舰长。感谢你能找到她并把她带回家，""院长看着离开接待室后开始聊天的两人，似乎{Coureuse}的脸上终于出现了一个微笑。""有了{Scylla}，我们就可以重新开始了。""

{Baird}指了指旁边的运输舱: ""让我们去一个更适合讨论接下来的事的地方吧。""
",gaFC_return6:登上运输舱,
gaFCReturnToAcademy6,DialogOptionSelected,$option == gaFC_return6,"$option = gaFC_returnTransportHub 0
FireBest DialogOptionSelected",{Baird}通过舱窗看着外边的各种管道和远方的风景，陷入了沉思。安静的氛围开始支配这个空间，你发现这可能是一个向教务长提问而不必打断她的滔滔不绝的机会。,,
gaFCReturnTransportHub,DialogOptionSelected,$option == gaFC_returnTransportHub,FireAll GAFCTransportPodHubOptions,,,
gaFCReturnTransportHubA,GAFCTransportPodHubOptions,!$saidLeague,,,"gaFC_returnHubLeague:""放跑了{Coureuse}，英仙座联盟会很不高兴的。""",
gaFCReturnTransportHubB,GAFCTransportPodHubOptions,!$saidScylla,,,"gaFC_returnHubScylla:""看起来她不怎么喜欢你。""",
gaFCReturnTransportHubC,GAFCTransportPodHubOptions,,,,gaFC_returnHubNothing:保持沉默,
 gaFCReturnHubLeague,DialogOptionSelected,$option == gaFC_returnHubLeague,"$saidLeague = true 0
FireAll GAFCTransportPodHubOptions","""是的，他们中的一些人会。""{Baird}的脸上流露出一丝笑意，""但其他人知道这其实能让星域更快地向前发展 - 英仙座联盟无法从整个星区中找出最优秀最聪明的人，但{Galatia}学院可以，再者他们也没有我们的理论研究基础和专业实验设备 - 这可是与他们的舰队武器库有关的实际问题; 武器，战舰，重工业，以及与盟国签订的各种合同。""

""此外，联盟内部的各派不能就这样一个微妙的问题要求公开投票，我们只是用其他方式解决了他们的政治问题。""院长缓缓向你点了点头，承认了你在事情发展中扮演的角色。",,
 gaFCReturnHubScylla,DialogOptionSelected,$option == gaFC_returnHubScylla,"$saidScylla = true 0
FireAll GAFCTransportPodHubOptions","{Baird}看了你很长时间。你认为你在她脸上看到了前所未有的东西，似乎是某种情感上的痛苦。

""{Scylla}从来没有对我...对学院向她提供机会一事表现过感激。也许她就是这样长大的，她的不服从被纵容着，已经成为了习惯。但随着时间的推移，当她看到我们所取得的成就时，也许她更高层次的理性会胜出。我知道将来她会对我们表示感谢的。""

{Baird}转过身，凝视着前方，下巴绷得紧紧的。",,
gaFCReturnHubNothing,DialogOptionSelected,$option == gaFC_returnHubNothing,,"在一片寂静中，你几乎可以听到{Baird}脑子转动的声音。

运输舱在刹车的杂音中停下了，你能感觉到重力场发生的微妙变化。走下运输舱后，你注意到这似乎是一个后门，让{Baird}不用经过了已经被满是{不习惯被告知他们需要等待的重要人物}所填满的等候室。",gaFC_returnToAcademy7:继续,
gaFCReturnToAcademy7a,DialogOptionSelected,"$option == gaFC_returnToAcademy7
!$global.foundGargoyle",,"你跟着{Baird}院长走进她的办公室，之后门悄悄地关上了。她边检查着收到的信息，边示意你在她的办公桌前坐下。

""她似乎已经适应了。""{Baird}敲了敲桌上的控制台。

一副图像从她的桌子上投影了出来: 那是一个闪闪发光的新物理实验室的监控录像。画面中，{Sebesyten}正在将{Scylla Coureuse}介绍给各种各样的院士 - 这从他们的正式着装可以判断出来 - 以及穿着各种防护服的技术人员。他们看上去很年轻，并且急于投身到工作中。",gaFC_return8a:继续,
gaFCReturnToAcademy8a,DialogOptionSelected,$option == gaFC_return8a,,"她指着图像说: ""我们将根据{Coureuse}独自进行的项目和她所能回忆起的东西还原我们所能还原的所有，但如果没有{Kallichore}档案，获取明确的数据集将会是十分...不方便的。""

{Baird}抬头看了看天空 - 天空通常会在的方向: ""我估计霸主的技术部门已经在{Galatia}星系中安装了非常特殊的监控设备，以避免被另一个{'小事故'}搞得手忙脚乱。我们不敢对那些东西下手，免得又给他们什么介入的借口。""",gaFC_return9a:继续,
gaFCReturnToAcademy9a,DialogOptionSelected,$option == gaFC_return9a,"$global.gaFC_completed = true
Call $global.gaFC_ref updateStage","""舰长，去弄到{Kallichore}档案，动作要快。""{Baird}说完后转过了身子，开始打发你。""现在谈论我的目标还为时过早，但一个伟大的突破已经近在咫尺了。""

你感觉到身后的门无声地打开了，带着面具的警卫就像周围环境中的静电一样冒了出来。该走了。",gaFC_returnLeave:离开,
gaFCReturnLeave,DialogOptionSelected,$option == gaFC_returnLeave,"ShowDefaultVisual
FireAll PopulateOptions",,,
gaFCReturnToAcademy7b,DialogOptionSelected,"$option == gaFC_returnToAcademy7
$global.foundGargoyle",ShowSecondPerson gargoyle,"走进{Baird}的办公室后，你注意到{Gargoyle}就呆在休息区，还把靴子放到了桌子上。黑客漫不经心地关闭了一个全息显示器: ""哦，终于有人能陪我聊聊了。我觉得很无聊，正想要看看一些文件呢，你就来了...""

虽然{Baird}的表情没有任何外在的变化，但你心中充满了危机感，就像一艘强大的星舰已经将武器瞄准了你一样。院长一脸严肃地开口了: ""我猜这是个有趣的恶作剧。现在，趁我还没把你赶出我的办公室，赶快把你的脚从桌子上拿开。""

""好好好，女士。""{Gargoyle}闷闷不乐地咕哝着，把脚放到了地上。",gaFC_returnToAcademy8b:继续,
gaFCReturnToAcademy8b,DialogOptionSelected,$option == gaFC_returnToAcademy8b,,"{Baird}院长来到了她办公桌的后面，皱着眉头擦了擦桌子，然后轻敲几个键启动了全息投影仪。一副图像从她的桌子上投影了出来: 那是一个闪闪发光的新物理实验室的监控录像。画面中，{Sebesyten}正在将{Scylla Coureuse}介绍给各种各样的院士 - 这从他们的正式着装可以判断出来 - 以及穿着各种防护服的技术人员。他们看上去很年轻，并且急于投身到工作中。

""她似乎已经适应了。""{Baird}看着图像点了点头，""{Sebestyen}比看上去更能干。他坚持不懈，一丝不苟地促成了这个研究团队的重生。""

{Gargoyle}大声嚷嚷起来: ""看看他没盯着我时发生了什么，一大堆麻烦事接踵而至!""",gaFC_returnToAcademy9b:继续,
gaFCReturnToAcademy9b,DialogOptionSelected,$option == gaFC_returnToAcademy9b,,"{Baird}点点头表示赞同，然后说: ""我的团队一直在研究{kallicore}的数据，我必须得承认，多亏了{Gargoyle}的辛勤工作，这些数据才得以解密。""你注意到了{Gargoyle}微微躬身的动作，仿佛他刚刚完成了一场大师级的表演。

""我们已经开始重启之前的研究，""她说，""在{kallicore}的失误之后，让{Coureuse}在这里形成先进理论团队的核心将会带来巨大的进步。毕竟这是她毕生的心血。""",gaFC_returnToAcademy10b:继续,
gaFCReturnToAcademy10b,DialogOptionSelected,$option == gaFC_returnToAcademy10b,,"""还有，""{Gargoyle}插话道，""我已经破解了霸主的探测器。它们向霸主提供的所有报告都会是一切正常，不会有人知道这里发生了诡异的超空间折叠，长官!""

""确实如此，{Gargoyle}非常有用。""{Baird}再次点头致谢，接着她转向了你，""你也一样，我想你会在这些实验的实践阶段中发挥作用，因为我预计一些实验将会有...戏剧性的结果。""",gaFC_returnToAcademy11b:继续,
gaFCReturnToAcademy11b,DialogOptionSelected,$option == gaFC_returnToAcademy11b,,"{Baird}院长停顿了一下并看向了你，观察起你的反应来: ""你一定很好奇我们到底想研究什么。""","gaFC_return11b1:""是。""
gaFC_return11b2:""并没有，毕竟报酬很丰厚。""
gaFC_return11b3:""你显然是想要重启星门。""
gaFC_return11b4:以绝不再上当的姿态保持沉默",
gaFCReturnToAcademy12b1,DialogOptionSelected,$option == gaFC_return11b1,"$option = gaFC_return12b 0
FireBest DialogOptionSelected","她没有理会你的回答，继续说道: ""舰长，这是为了再次连通整个银河。听到这里你应该知道了: 星门。这一切都是为了星门。""",,
gaFCReturnToAcademy12b2,DialogOptionSelected,$option == gaFC_return11b2,"$option = gaFC_return12b 0
FireBest DialogOptionSelected","她没有理会你的回答，继续说道: ""舰长，这是为了再次连通整个银河。听到这里你应该知道了: 星门。这一切都是为了星门。""",,
gaFCReturnToAcademy12b3,DialogOptionSelected,$option == gaFC_return11b3,"AdjustRepActivePerson INHOSPITABLE -1
$option = gaFC_return12b 0
FireBest DialogOptionSelected","她几乎是下意识地瞪了你一眼，对你毁了她的美好时光感到愤怒，过了好一会她才回过神来。""对，舰长。更深远的意义是再次连通整个银河。我完成的每件事，我正在为之努力的每件事都是为了星门。""",,
gaFCReturnToAcademy12b4,DialogOptionSelected,$option == gaFC_return11b4,"$option = gaFC_return12b 0
FireBest DialogOptionSelected","她没有理会你的回答，继续说道: ""舰长，这是为了再次连通整个银河。听到这里你应该知道了: 星门。这一切都是为了星门。""",,
gaFCReturnToAcademy12b,DialogOptionSelected,$option == gaFC_return12b,,"{Gargoyle}听了这番话后鼓了鼓掌，这多少削弱了{Baird}话语的压迫感。

{Baird}没有理他，她点了点一个数据板，全息投影仪投射出了一个三维的网状结构地图。你认出了这张图片: 这是人之领星门网络在英仙座星区的结构图。在一片很显眼的区域中交织出的密集点就是你们称呼为核心世界的地方。

""更准确地说，是为了星门能做到的事。""{Baird}说。",gaFC_return13b:继续,
gaFCReturnToAcademy13b,DialogOptionSelected,$option == gaFC_return13b,,"{Gargoyle}又开口了，以不知怎么地比平时更认真的口气说道: ""自由! 想象一下，{$playerFirstName}。人之领用来奴役人类的技术 - 获得了解放! 那些统治我们的家伙依然被人之领时代的思维束缚着，它们也总想着用自己的思维去束缚别人，速子科技，卢德教会，霸主; 全都是没有灵魂的奴才!""

""想象一下我们把他们的美梦打碎的情境，想象一下，任何人都可以去任何地方做任何事的时代!""{Gargoyle}咯咯地笑了起来，身体前后摇晃着。",gaFC_return14b:继续,
gaFCReturnToAcademy14b,DialogOptionSelected,$option == gaFC_return14b,"$global.gaFC_completed = true
Call $global.gaFC_ref updateStage","你注意到{Baird}在对方演讲时面无表情地看着{Gargoyle}。当{Gargoyle}被数据板分散了注意力安静下来时，院长用一种命令般的语气对你说: ""一周左右后回来，舰长。我的人需要时间工作，你则应该休息一下。""

""但要保持低调，自你在{Isirah}星系大闹了一番后，各方势力都焦躁不安。""

{Baird}看向了桌上的控制台，在浏览信息时她脸上阴晴不定。""就这样，舰长。""

""还有，{Gargoyle}。""过了一会后她开口道。","gaFC_return15b:""我想谈谈你对这项科技的意图。""
gaFC_returnLeave:离开",
gaFCReturnToAcademy15b,DialogOptionSelected,$option == gaFC_return15b,,"{Baird}又看向了你，""这可不是什么{'科技'}，舰长，只是可能性。可能性再大也只是可能性而已。""

她转过身去开始打发你。""这事我们以后再详谈。""

你感觉到身后的门无声地打开了，带着面具的警卫就像周围环境中的静电一样冒了出来。该走了。{Gargoyle}和你一起离开了办公室，一边同情地看了你一眼一边咕哝着什么。",gaFC_returnLeave:离开,
"# post gaFC, Laicaille Archon reassigned",,,,,,
